PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
ZY5N3,4b3/8/2k1Pp1p/4PP2/5K2/8/8/8 b - - 0 43,f6e5 f4e5 h6h5 f5f6,944,79,97,449,bishopEndgame crushing endgame short,https://lichess.org/nz6ohSyo/black#86,
JL4QZ,r5k1/1b1r1ppp/4p3/p7/P1PB3n/1Q1B2qP/4R1P1/R5K1 b - - 5 30,b7g2 d3h7 g8h7 b3g3,1221,75,99,3885,advantage discoveredAttack middlegame short,https://lichess.org/AOo0BX2T/black#60,
46wPU,4k3/2P5/p2Rp1p1/1p2q3/8/6P1/P4P1P/6K1 b - - 0 30,e5c5 d6d8 e8e7 c7c8q c5c8 d8c8,1140,75,98,1429,advancedPawn crushing endgame long promotion queenRookEndgame,https://lichess.org/f1JNYNr3/black#60,
NqZ10,2r2rk1/1p3pp1/p1b1pn1p/2b4q/5R2/P1NQB2P/1PB2PP1/2R3K1 b - - 13 24,c5e3 f4f6 e3f2 f6f2,1822,76,93,1016,advantage middlegame short,https://lichess.org/fJXvDUQt/black#48,
ATftD,2kr3r/Qp3pp1/2p1p2p/1N6/4q2P/5P2/PP4P1/2R3K1 b - - 0 25,e4d5 a7a8 c8d7 a8b7 d7e8 b5c7 e8f8 c7d5,1343,76,94,11034,crushing deflection endgame fork pin veryLong,https://lichess.org/hQg9N6oy/black#50,
t4ORh,8/pp4p1/2p3k1/3p4/2q3p1/2P2pN1/5P2/4Q1K1 b - - 5 43,g6g5 e1e5 g5g6 e5f5 g6h6 f5h5,1100,76,69,271,endgame long mate mateIn3,https://lichess.org/dsR41ipE/black#86,
ZUQa0,rnb1r1k1/pp2ppbp/1qp1n1p1/4P3/2P5/P1N2N1P/1PB2PPB/R2QK2R b KQ - 0 13,b6b2 c3a4 b2a1 d1a1,1454,79,91,8529,advantage opening short trappedPiece,https://lichess.org/eEJizEeq/black#26,Slav_Indian Slav_Indian_Other_variations
AqORn,8/7b/3p4/1pkNp2p/3pP1pP/1P1P2P1/2P2K2/8 b - - 3 42,h7g8 b3b4 c5c6 d5e7 c6b7 e7g8,1188,77,100,129,crushing endgame fork long,https://lichess.org/AaKaeS9m/black#84,
XcorR,1br2rk1/1bq3pp/p3pp2/2Pp4/1P1N4/3PB3/P4PPP/2RQ1RK1 w - - 2 21,a2a4 c7h2,532,99,89,270,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/5b1I3xqa#41,
E7OHo,8/8/1pp1k1p1/4P2p/pP1K4/P5PP/8/8 b - - 1 36,e6f5 b4b5 f5e6 b5c6,2278,84,87,44,crushing endgame master pawnEndgame short,https://lichess.org/R1oeAC4H/black#72,
qwMjV,8/8/3p1p1k/pRp3p1/2Pqr3/P6P/2P3P1/5Q1K b - - 1 34,d4c4 f1f6 h6h5 g2g4 e4g4 h3g4,1632,76,93,1281,crushing endgame long,https://lichess.org/hVJ1Lmkb/black#68,
1uni0,4rr1k/Q5pp/2p2q2/8/3PR3/8/PP3PPP/4R1K1 w - - 1 24,e4e2 f6f2 e2f2 e8e1 f2f1 e1f1,1497,83,88,38,deflection endgame long mate mateIn3 sacrifice,https://lichess.org/f8ZiohbP#47,
