PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
K193o,2r1r1k1/1p1n1pp1/pq5p/3p4/Pb1P1P1B/2N5/1P3QPP/4RRK1 w - - 0 23,c3d5 b4e1 f1e1 e8e1 f2e1 b6d4,1751,75,94,723,advantage kingsideAttack long middlegame,https://lichess.org/vAdEkjDD#45,
fFeZb,r1bq1rk1/p3bp2/2p5/3p1P2/6n1/P1NB3Q/1PP3PP/4RRK1 b - - 2 18,d8b6 g1h1 g4f2 f1f2,1356,77,91,2543,crushing defensiveMove middlegame short,https://lichess.org/B1g8EJhl/black#36,Scotch_Game Scotch_Game_Schmidt_Variation
JWE3I,r1r4k/2b2Qpp/p1P1B3/1p2q3/8/P2P3P/2P3P1/R4R1K w - - 3 25,e6c8 e5h2,1025,183,43,8,mate mateIn1 middlegame oneMove,https://lichess.org/4UPW0sUe#49,
NhRTf,7r/1R3pp1/2p1kq2/P1Pp4/7R/4P3/P4PPP/6K1 w - - 0 27,h4h8 f6a1 b7b1 a1b1,846,84,68,71,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/p5q9gobK#53,
YEtwo,6k1/2p2pp1/pp5p/2p5/Q1Pp4/3qrPPb/PP2PR1P/4R1K1 w - - 0 21,e2d3 e3e1 f2f1 e1f1,598,92,60,76,endgame hangingPiece kingsideAttack mate mateIn2 operaMate short,https://lichess.org/YlQHDVag#41,
3oZpO,3r1r1k/2R3pp/8/8/3pQ3/3P4/Pq3PPP/4R1K1 w - - 0 31,e4e5 b2f2 g1h1 f2f1 e1f1 f8f1,1157,78,47,127,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/qyYzyiOA#61,
nLf9Y,1r2r1k1/ppp1q1p1/2np1n2/4p1N1/4P3/2PPP2Q/PP4PP/R4RK1 b - - 0 20,g7g6 f1f6 e7f6 h3h7 g8f8 a1f1,1621,76,91,2962,crushing exposedKing long middlegame pin sacrifice,https://lichess.org/NLQEV64v/black#40,
zwJIG,3r2k1/1p2qpp1/2p4p/Q7/P1R5/4P1P1/1P3PK1/8 b - - 0 26,e7d6 c4d4 d6d4 e3d4,1331,75,86,1406,crushing endgame short,https://lichess.org/bFibCURC/black#52,
AEBKy,8/5p2/3kb3/1p5P/1Pp2KP1/p1P5/P7/8 b - - 0 51,f7f5 h5h6 e6g8 f4f5,2648,90,94,570,bishopEndgame crushing endgame short,https://lichess.org/gfcKoz0U/black#102,
4sQ1l,5r2/p5k1/2p5/2NpP1p1/2pP3p/2P1K2b/PP6/6R1 b - - 3 34,g5g4 c5e6 g7f7 e6f8,1060,82,69,97,crushing endgame fork short,https://lichess.org/fuyIFUb3/black#68,
rwgI0,3q2n1/1k3p2/pp1p1n2/P1pPpP1p/N1P1Pb2/1Q1B1K1P/1P6/8 b - - 1 32,b6b5 c4b5 d8a5 b5a6 b7c8 b3b7 c8d8 a6a7,2033,79,95,13959,advancedPawn crushing discoveredCheck doubleCheck middlegame veryLong,https://lichess.org/FPYo8xN6/black#64,
771JC,r1rq4/3b1Qbk/p5pp/3P4/3nN3/3B3P/5PP1/R2R2K1 b - - 0 34,d8e8 e4f6 h7h8 f6e8,1271,81,94,3199,crushing fork master middlegame short,https://lichess.org/iwa81Bzi/black#68,
cd2Vd,2r1r1k1/pp3pb1/8/7p/7P/1PP1p3/qP2Q3/1NKR2R1 b - - 1 25,g8f8 e2g2 g7h6 g2g8 f8e7 d1d7 e7d7 g8f7 e8e7 g1d1 d7c7 f7e7,2742,108,89,1057,advantage attraction deflection middlegame sacrifice veryLong,https://lichess.org/vPcqguIj/black#50,
Aqjzf,2r3k1/5ppp/4q3/8/1K1Q1PP1/2R5/8/5b2 b - - 11 41,c8c3 d4d8 e6e8 d8e8,1022,77,73,113,endgame mate mateIn2 short,https://lichess.org/hkDcrEY1/black#82,
kva9L,8/2r5/2P5/8/3k4/2R5/P3pK2/8 w - - 4 59,c3c1 d4d3 c1b1 c7f7,2040,77,88,382,crushing endgame master rookEndgame short,https://lichess.org/8dzsQNeo#117,
kMVxT,3rr1k1/5ppp/2p1b3/p1P1p3/2BbP3/B3NP2/P2R1KPP/3R4 b - - 0 23,e6c4 d2d4 d8d4 d1d4 e5d4 e3c4,1253,76,85,397,advantage capturingDefender long middlegame,https://lichess.org/AFDaj2Rk/black#46,
XnzHN,r4rk1/6pp/2p1pqp1/pp1p2P1/1PnP1P2/2PBP3/P1Q1K1P1/5R1R b - - 0 21,f6f7 h1h7 g8h7 d3g6,1921,75,91,4573,advantage attraction kingsideAttack middlegame sacrifice short,https://lichess.org/MkE8do2l/black#42,
A78dz,8/p4p1k/2p1p2P/1p1q4/4R2R/P7/1P3P2/6K1 b - - 2 33,f7f5 e4d4 d5e5 d4d7,1203,75,98,1712,crushing endgame queenRookEndgame short,https://lichess.org/5uJPeYJt/black#66,
99sPJ,1n3r1k/1Q5p/4R1p1/p1q5/P7/1B6/5PPP/1R4K1 w - - 1 28,e6e7 c5f2 g1h1 f2f1 b1f1 f8f1,842,98,95,941,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/klAjFAZX#55,
EV1jH,1N3k2/5pp1/2p3p1/1pP5/1b6/3K4/5PPP/8 b - - 7 35,b4c5 b8d7 f8e7 d7c5,1010,199,0,3,advantage endgame fork short,https://lichess.org/i2JsqbNY/black#70,
rdc4d,2r5/4qp1k/p3p2p/3nP2Q/8/5N1P/5PP1/4R1K1 w - - 3 38,h3h4 d5f4 f3g5 h7g7 h5f7 e7f7 g5f7 g7f7,2176,84,67,30,advantage defensiveMove endgame master veryLong,https://lichess.org/rFtkjzx7#75,
JFPgA,2kqrR2/1pp3Q1/1p1pp3/7p/1P2P3/3r3P/P5P1/5RK1 b - - 1 23,d3g3 g7h8 e8f8 f1f8 d8f8 h8f8,2224,105,82,23,crushing endgame long pin,https://lichess.org/4KNNQoRW/black#46,
OMXP5,4N3/1p3pkp/p5p1/2Q2bn1/8/5BP1/P1P3KP/2q5 b - - 8 34,g7h6 c5f8,875,83,96,1243,endgame mate mateIn1 oneMove,https://lichess.org/r0bAcIrB/black#68,
rFTOX,3R4/8/p7/P7/1pr2PP1/3k4/2p5/2K5 b - - 3 49,c4d4 d8d4 d3d4 c1c2,1749,82,84,46,crushing endgame rookEndgame short,https://lichess.org/2G0x9uix/black#98,
TSwN4,5k2/R4pp1/4p3/P3P3/3p4/2p2P2/1r4PP/2K5 w - - 0 38,a5a6 d4d3 a7d7 d3d2,1367,77,86,338,advancedPawn crushing endgame rookEndgame short,https://lichess.org/ykmHYMTZ#75,
OnngO,r3k1nr/pR3p1p/2p1p1p1/4R3/5q2/2P4P/P5P1/3Q2K1 b kq - 0 20,f4e5 d1d7 e8f8 d7f7,1015,97,93,1650,endgame mate mateIn2 short,https://lichess.org/bY2ETkLm/black#40,
YvYsc,3r1k2/2p2ppp/Q7/2P1p3/1P6/P2bP3/3q1PPP/R4RK1 w - - 1 23,f1d1 d3a6 d1d2 d8d2,1403,76,87,1151,advantage endgame short,https://lichess.org/4DhXuc2I#45,
YwkfG,rn1q1k1r/pp2bp2/2p1bN1Q/8/3p4/3B4/PPP3PP/R1B2RK1 b - - 2 17,h8h6 c1h6,1210,76,100,1054,mate mateIn1 oneMove opening,https://lichess.org/mb6MCs4c/black#34,Caro-Kann_Defense Caro-Kann_Defense_Maroczy_Variation
mrG2m,r5k1/3q2pp/2p1p1r1/1pBp4/3Pn3/Q1P2R2/P4PPP/4R1K1 b - - 5 27,a8a3 f3f8,878,82,83,378,mate mateIn1 middlegame oneMove operaMate,https://lichess.org/7YvCEjGo/black#54,
WNTRB,1R2R3/p5pk/8/7p/8/1B4PK/P2r1r2/8 w - - 8 38,b3g8 h7h6 e8e6 g7g6,1721,75,88,143,crushing defensiveMove endgame short,https://lichess.org/pMv4euwz#75,
QMzCx,8/5k2/7p/P1N2p2/6p1/1P4P1/1r3P1P/4K3 b - - 0 45,f7e7 a5a6 b2a2 c5a4,1866,114,67,24,crushing defensiveMove endgame short,https://lichess.org/e6rlkP3g/black#90,
hIxve,2r2rk1/1p2nppp/pq1p1b2/3Pp3/2P5/PN1BQ3/1P3PPP/R4RK1 b - - 2 16,b6b3 d3h7 g8h7 e3b3,1053,77,100,461,advantage discoveredAttack middlegame short,https://lichess.org/oxJNwZxQ/black#32,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
hNnlC,r5k1/5pp1/3n3p/1pR5/8/2P2N2/5PPP/6K1 w - - 0 28,c5c6 a8a1 f3e1 a1e1,757,107,85,46,backRankMate endgame mate mateIn2 short,https://lichess.org/rRhqhxl2#55,
E7h3A,r1N2k1r/4npbp/p3p1p1/1B6/1q2P3/8/P4PPP/2RQ1K1R b - - 0 19,a8c8 c1c8 e7c8 d1d8,835,107,96,763,mate mateIn2 middlegame short,https://lichess.org/J3EmTqUJ/black#38,
yZAwp,r5k1/1ppq2bp/6p1/1b3p2/1B1Pp2P/4P1P1/rR3PB1/2QR2K1 b - - 3 24,b5d3 b2a2 a8a2 d1d3,2094,82,90,931,crushing master middlegame short,https://lichess.org/le7RXVDP/black#48,
0MoIF,r2q1rk1/pbppb1pn/1p2pp1B/4P2Q/8/2PB4/PP1N1PPP/R3R1K1 b - - 0 14,g7h6 h5g6 g8h8 g6h7,1069,78,100,1510,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/yZMzFGzU/black#28,French_Defense French_Defense_Normal_Variation
rY6va,7k/p5p1/5q1p/8/3B1r2/2pQ4/P1P3PP/4R1K1 b - - 0 33,f4d4 e1e8 f6f8 e8f8,840,86,100,202,endgame mate mateIn2 short,https://lichess.org/wrrX1Q21/black#66,
2ktWi,r4b1r/6p1/p1k2pB1/Bppn1N2/2P4p/1P6/P5PP/3R2K1 b - - 0 29,d5f4 f5e7 f8e7 g6e4,1997,76,80,70,advantage clearance middlegame sacrifice short,https://lichess.org/DHWdXpyc/black#58,
3YnvP,1r4k1/p4pp1/B3pn1p/3nN3/3P4/2q1P3/5PPP/Q2R2K1 w - - 8 28,a1a4 d5e3 f2e3 c3e3 g1h1 f6e4,2151,79,90,1662,advantage defensiveMove kingsideAttack long middlegame,https://lichess.org/0v89vQox#55,
lFQws,r4rk1/2p1q1p1/1p3n1p/pP2p3/P3P3/2P2N1P/5RP1/3R1QK1 b - - 3 23,f6e4 f1c4 e7f7 c4e4,1601,83,86,71,advantage fork middlegame short,https://lichess.org/rkclGEfI/black#46,
6zLYV,8/pR6/4Kpk1/8/2q3P1/8/8/4R3 w - - 1 52,e6d6 c4a6 d6c7 a6a5,2113,77,94,1032,crushing endgame fork queenRookEndgame short,https://lichess.org/1S2zPR54#103,
Tb6IO,r3kb1r/4n3/p1p2P2/3p3b/Q6p/1PPq3P/P4P1K/RNB1R3 b kq - 0 21,d3f3 a4c6 e8f7 c6e6,1956,74,75,135,advantage middlegame pin short,https://lichess.org/dCAu8TrT/black#42,
Vbgit,8/pp3r1k/2p3R1/2P1p2P/PP1pP2K/8/8/8 w - - 3 45,h4g5 f7g7 g6g7 h7g7,1967,76,91,2943,crushing endgame rookEndgame short,https://lichess.org/orb40q3n#89,
glQif,4rr1k/p2p3p/1qb4P/5pQ1/2B5/1P6/P1P5/3R1K2 b - - 0 27,f8g8 g5f6 g8g7 h6g7,1180,86,94,1998,advancedPawn mate mateIn2 middlegame short,https://lichess.org/J4f891Id/black#54,
SGT7M,6k1/4R2p/3p2pB/1b1q1r2/1p3P2/8/1b4PP/4Q2K b - - 1 28,b5c6 e7e8 c6e8 e1e8 f5f8 e8f8,881,87,89,715,long mate mateIn3 middlegame sacrifice,https://lichess.org/8yN4J9Eb/black#56,
9Xt0l,4brk1/5np1/5q1p/p2Q1N2/5p2/PB6/5PPP/4R1K1 w - - 2 35,e1e8 f6a1 d5d1 a1d1 b3d1 f8e8,1265,76,86,338,crushing long middlegame,https://lichess.org/64OXNB5A#69,
yVJwH,2r1r3/pp4pk/5n1p/8/3Pq3/6Q1/1PNR1PPP/3K3R w - - 5 24,h1e1 c8c2 e1e4 c2d2 d1c1 f6e4,2206,76,93,9065,crushing exposedKing long middlegame,https://lichess.org/ugKlYi2Q#47,
kf9mb,8/4b1k1/p3p3/1p2PbpQ/6r1/P3qRP1/1P4PK/3R4 b - - 3 32,e3e2 d1d7 g4h4 g3h4,1678,74,88,1223,crushing middlegame pin short,https://lichess.org/oEMqAKeu/black#64,
Nu3VT,4q2k/p4rpp/1p6/5p1P/3p1P2/P1nQ4/1B4P1/5RK1 b - - 0 33,e8e3 d3e3 d4e3 b2c3,904,117,89,26,advantage endgame short,https://lichess.org/5ftojkOx/black#66,
ThAy8,r1b1k2r/ppp3pp/3b1p2/3Q4/8/BP2P3/P1qP1PPP/RN2K2R w KQkq - 2 13,a3d6 c2c1 e1e2 c1h1,1664,75,89,310,advantage middlegame short skewer,https://lichess.org/vYST4ERs#25,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
zg4U1,4r1k1/5pp1/2q4p/1R3Q2/1p6/1P4PP/P4P2/6K1 w - - 3 39,b5c5 e8e1 g1h2 c6h1,1010,124,69,19,endgame mate mateIn2 short,https://lichess.org/wkfzZOCa#77,
VRBVT,1k1r4/1p4Rp/pB2pp2/n4q2/5P1K/2P5/1P5P/8 b - - 4 35,d8d3 g7g8 d3d8 g8d8,1102,80,82,129,endgame mate mateIn2 pillsburysMate short,https://lichess.org/NRcztXZE/black#70,
LYyb7,8/4k3/4p1p1/8/2p2b2/1pP3RP/rP2RPP1/6K1 w - - 2 38,g3g6 a2a1 e2e1 a1e1,737,100,87,413,endgame mate mateIn2 pillsburysMate short,https://lichess.org/QnQeoUu1#75,
UA6Lv,r1k5/p4R2/8/2q5/P4Q2/3p1P2/1P1K4/3r4 w - - 4 46,d2d1 c5c2 d1e1 c2e2,1296,75,94,926,endgame mate mateIn2 short,https://lichess.org/jZC8VVkp#91,
gKu9s,8/6p1/4p2p/1qk1Q3/8/7P/1P4P1/7K b - - 3 37,c5b4 e5c3 b4a4 c3a3,1428,76,96,7711,endgame mate mateIn2 queenEndgame short,https://lichess.org/lkmXKATz/black#74,
nkiPv,2rr2k1/5ppb/p6p/4R3/2Pp2P1/7P/1PP2P2/3NR1K1 b - - 0 27,c8c4 e5e8 d8e8 e1e8,815,87,71,94,backRankMate endgame mate mateIn2 short,https://lichess.org/DJYwuwMq/black#54,
jCQvK,2kr1b1r/1p1q2p1/p1n1ppp1/3p4/N2P1PPP/3RB3/PPP1Q3/1K5R b - - 4 18,c6a5 a4b6 c8c7 b6d7,1476,77,94,2106,crushing fork middlegame short,https://lichess.org/tVHhF7d6/black#36,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
iPwfE,1r6/4R1k1/3p3p/p1pB1qp1/2Pn1pQ1/1P5P/P7/7K b - - 5 33,g7g6 d5e4 f5e4 e7e4,2038,75,94,1532,advantage endgame pin short,https://lichess.org/r7SLS9mv/black#66,
oT1Iu,rn1q1rk1/2p2ppp/pp3b2/3p4/3P4/2N2N2/PPP1QPPP/R3R1K1 b - - 1 13,f8e8 e2e8 d8e8 e1e8,408,101,96,532,backRankMate mate mateIn2 middlegame short,https://lichess.org/zvN7PBMb/black#26,French_Defense French_Defense_Queens_Knight
KZYL5,r3k2r/ppq2pp1/2p2n2/2p1n1B1/3NP1p1/1B6/PPPQ1PP1/R4RK1 w kq - 0 15,d4f5 e5f3 g2f3 c7h2,1455,76,93,1076,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/zTKYydP3#29,Scotch_Game Scotch_Game_Scotch_Gambit
L5Xlg,5r1k/1Q1p1pp1/p3pn1p/q7/3NP3/4BP2/1P4PP/2R3K1 w - - 0 20,c1c8 a5e1,928,79,100,84,master mate mateIn1 middlegame oneMove,https://lichess.org/z5BTIejM#39,
ydzd6,3r4/8/5p2/2KBnk2/P1P3pp/8/5P2/4R3 w - - 0 51,a4a5 e5d3 c5b6 d3e1,1134,84,88,46,advantage endgame fork master short,https://lichess.org/dM01PRH4#101,
sWygs,r2nkb1r/ppp1q2p/4N1p1/4p3/8/1P5Q/P1PP1PPP/R1B1K2R w KQkq - 2 13,c1a3 e7e6 h3e6 d8e6,1612,76,93,943,advantage middlegame short,https://lichess.org/iCJ5i6rj#25,Kings_Pawn_Opening Kings_Pawn_Opening_Other_variations
VVyre,r7/pp2q1kp/n1p1b1p1/4P3/8/1P3Q1P/PBP2PP1/3R2K1 b - - 2 21,a8d8 f3f6 e7f6 e5f6 g7f7 d1d8,1566,76,91,3705,crushing long middlegame,https://lichess.org/dgEzr4cl/black#42,
yJ3Ap,4n1kr/5p2/8/6pp/3Q1Pn1/6Pq/2BP2NP/5RK1 w - - 3 34,g2e3 h3h2,908,85,40,316,mate mateIn1 middlegame oneMove,https://lichess.org/pX3NJ0jz#67,
B3ihA,8/8/7p/2k3pK/5p2/8/6PP/8 w - - 4 49,h5h6 g5g4 h6g5 f4f3 g2f3 g4f3,1339,77,82,314,crushing endgame long master pawnEndgame quietMove,https://lichess.org/UUGvGcMn#97,
Ou5RJ,5b1k/7p/5Q2/5pP1/3PpP2/4q3/7K/8 b - - 2 43,f8g7 f6d8 g7f8 d8f8,1022,76,74,162,endgame mate mateIn2 short,https://lichess.org/J91Pr3Co/black#86,
j0kZo,1n6/3n2kp/6p1/1p3p2/6KQ/6R1/7R/6q1 w - - 0 71,g4g5 g1c1 h4f4 h7h6 h2h6 c1f4 g5f4 g7h6,1639,79,92,1796,crushing endgame veryLong,https://lichess.org/EOmz5Lgo#141,
gujeu,r1b1r1k1/pp3ppp/1n1R4/4R3/1P6/1P3N2/2P2PPP/6K1 b - - 0 23,e8e5 d6d8 e5e8 d8e8,837,111,93,123,backRankMate endgame mate mateIn2 short,https://lichess.org/wwLumkcX/black#46,
KYWnu,8/8/2p5/p1k3pp/1p6/1P2KPP1/P1P5/8 w - - 0 39,e3e4 h5h4 g3h4 g5h4,1266,79,89,1272,crushing endgame pawnEndgame short,https://lichess.org/tXqn1H2f#77,
Hh6Z3,2b3k1/r3nrpp/p1p5/P1Np4/1q6/3Q1R2/1B3PPP/4R1K1 w - - 0 32,f3f7 b4e1 d3f1 e1f1 g1f1 g8f7,1387,74,66,934,crushing hangingPiece kingsideAttack long middlegame,https://lichess.org/PRcG7uer#63,
sXbsS,4rrk1/2pb4/1p1p3p/pP1P1Nn1/2P2R2/2q3RP/P4QPK/8 b - - 0 30,c3h8 f5e7 g8h7 f2c2,1959,146,33,14,crushing middlegame short,https://lichess.org/3VT20FrB/black#60,
veYG0,r2q1rk1/1p1bnpp1/1bn1p3/p2pP1NQ/P2p1B2/1N6/1PP2PPP/R3R1K1 b - - 3 14,f7f6 h5h7,859,79,87,254,mate mateIn1 middlegame oneMove,https://lichess.org/yVinmw8O/black#28,French_Defense French_Defense_Advance_Variation
13yvJ,r7/3Pk3/pK6/1p6/1P6/P6B/8/8 b - - 8 52,e7d8 b6b7 a6a5 b7a8 a5b4 a3b4,1090,84,94,952,crushing endgame long trappedPiece,https://lichess.org/HPZMrCRZ/black#104,
TPMzF,3r2k1/p5pp/5p2/2pPbQ2/8/1P2R1PP/q4P1K/1RB1r3 b - - 1 27,g7g6 f5e6 g8h8 b1b2 e1e3 b2a2,2597,114,90,994,advantage long middlegame,https://lichess.org/mKglX9Wu/black#54,
REhBD,r4r2/1p1b1pkp/pq1p1np1/4pP2/P1BpP3/3P3P/1PPQN1P1/R4RK1 b - - 0 16,g6f5 d2g5 g7h8 g5f6,1165,77,92,1420,crushing deflection middlegame short,https://lichess.org/22ewgvYq/black#32,Sicilian_Defense Sicilian_Defense_Old_Sicilian
XzzqJ,2r5/6p1/R1n2pk1/p3p2p/1pN4P/1P2P3/5PP1/3K4 b - - 0 34,g6f7 c4d6 f7e7 d6c8,847,86,92,953,crushing endgame fork short,https://lichess.org/m5GVwbLV/black#68,
tOv8G,2k4r/1p3q1r/2b1p3/Q2pP3/3P2pB/P5p1/1R4KP/2R2B2 w - - 0 40,h4g3 f7f3 g2g1 f3e3,2004,75,82,188,advantage middlegame short,https://lichess.org/BRZOFNGU#79,
JjfwD,3R1r1k/1p4pp/2p5/2q1Q3/P7/8/1r3PP1/5RK1 b - - 1 35,c5e5 d8f8,536,96,67,184,backRankMate endgame hangingPiece mate mateIn1 oneMove queenRookEndgame,https://lichess.org/Zn38biHM/black#70,
9tmus,5rk1/1bp4p/1p2P1p1/p7/6Q1/8/PP1p1qPP/3RR2K w - - 0 27,e1e2 f2f1 d1f1 f8f1,1123,76,96,701,endgame mate mateIn2 sacrifice short,https://lichess.org/6nhlh15y#53,
zbBCV,r2qkb1r/ppp1pppp/5nb1/3P4/2B3P1/P1N2N1P/1Pn2K2/R1BQ3R b kq - 1 11,c2a1 c4b5 c7c6 d5c6 a7a6 c6c7,2197,96,50,21,advancedPawn advantage discoveredAttack discoveredCheck long middlegame,https://lichess.org/rgG3ccWD/black#22,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Teichmann_Variation
bcCLG,r5rk/ppp2p1p/3p1PpQ/8/4q3/8/P5PP/4RR1K b - - 1 30,e4c4 f1f4 a8e8 h6g7 g8g7 e1e8 g7g8 e8g8 h8g8 f4c4,2339,77,87,878,crushing deflection endgame sacrifice veryLong,https://lichess.org/rHUb5qLK/black#60,
OqqJo,1r6/R2k3p/3n1p2/3Bp1p1/6P1/3P3P/5P2/6K1 b - - 3 41,d7c8 d5e6 c8d8 a7d7 d8e8 d7d6,1249,77,86,236,crushing endgame exposedKing fork long,https://lichess.org/mklYoHr9/black#82,
CvmAL,r3k2r/1b1p1p2/p4p2/1pb1q2p/3NP1n1/P1N5/1PPQB1PP/R4R1K w kq - 0 17,a1d1 e5h2,702,82,100,377,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/9BB3abKD#33,Sicilian_Defense Sicilian_Defense_Kan_Variation
42Fz1,5r2/4p2k/5n2/p6P/1pbQP3/8/qP6/1NK3RR w - - 0 31,c1d2 f8d8 d4d8 a2b2,2099,81,78,57,crushing deflection middlegame pin sacrifice short,https://lichess.org/K1y6V08U#61,
HCbIG,8/3q1p1k/p4Q1p/2pP4/2P5/1p5b/7K/4R3 b - - 0 46,h3f5 e1e7 d7e7 f6e7,1319,75,94,1607,crushing endgame master pin short,https://lichess.org/cueIngtu/black#92,
LTKP7,1R6/8/4pk2/3p4/3P4/4P1K1/8/5r2 b - - 4 53,f6f5 b8f8 f5e4 f8f1,828,79,90,312,crushing endgame master rookEndgame short skewer,https://lichess.org/krEg1PyN/black#106,
bJU5u,2r2bk1/pq3ppp/1p2p3/4P2Q/2r5/6RP/P5PK/5R2 b - - 2 25,b7e4 h5f7 g8h8 f7f8 c8f8 f1f8,1450,78,82,223,deflection long mate mateIn3 middlegame,https://lichess.org/CmCrmR1B/black#50,
yORmu,N5k1/pp3p2/3B4/5Pp1/8/N3KPP1/P2Q2P1/6qr w - - 1 23,d2f2 g1c1 f2d2 h1e1 e3d3 e1d1,1963,75,85,480,advantage clearance endgame long pin,https://lichess.org/NBbixiOd#45,
PdwcT,8/8/6p1/4p3/4PkP1/1p3P2/1p2K3/1Rn5 w - - 8 56,e2f2 g6g5 f2f1 f4f3 b1b2 f3e3,2730,99,91,1010,crushing endgame long quietMove zugzwang,https://lichess.org/QiwoyUn6#111,
OYOuO,5rk1/2p2pp1/r1q4p/2P1P3/pP3Q1P/B5Pb/5P2/R2R2K1 w - - 5 35,d1d3 c6g2,833,90,88,198,mate mateIn1 middlegame oneMove,https://lichess.org/dwO1s9PS#69,
saUn1,rn4kr/p2p2pp/1pp1pq2/4NP1Q/1bPPB3/8/PP2KP1P/6R1 b - - 1 15,b4d6 e5g4 f6e7 f5f6,2448,84,90,128,crushing middlegame short,https://lichess.org/UVNtNWA6/black#30,French_Defense French_Defense_Normal_Variation
6P9Ka,q1r1r1k1/4pp2/p5Bp/3p4/1pP5/1P2bP1b/P1QN3B/3R3K b - - 0 30,d5c4 g6f7 g8f7 c2h7 f7f6 d2e4,2062,78,91,1321,attraction crushing kingsideAttack long master middlegame sacrifice,https://lichess.org/p1K1J3lk/black#60,
FJJSs,3rr1k1/5pp1/p1Rpn1qp/1p1B2n1/1P2P3/P3BP2/3Q2PP/3R2K1 w - - 4 29,c6a6 g5f3 g1h1 f3d2,1011,75,97,351,crushing kingsideAttack middlegame pin short,https://lichess.org/g9pzdgxF#57,
SvyFX,1r3rk1/5ppp/p3pq2/8/QP2BPn1/2P3P1/7P/R4RK1 w - - 0 22,a4c2 g4e3 e4h7 g8h8 c2e2 e3f1,1042,76,88,266,advantage fork long middlegame,https://lichess.org/CymI5KZB#43,
NQCZh,4r1k1/p1p2ppp/8/3Q4/R4P1n/1PPp3P/1P1B2PK/5q2 w - - 6 31,a4e4 f1g2,914,80,100,650,endgame mate mateIn1 oneMove,https://lichess.org/IsriL0FV#61,
D3N2g,8/3k4/1K2p3/1P2Pp2/5P2/5N1p/4n3/8 w - - 2 59,b6a7 e2d4 f3h2 d4b5,1892,74,95,3662,crushing endgame knightEndgame master short,https://lichess.org/1xTBQpDW#117,
gCFFg,r3kb1r/1b3ppp/p3p3/1p3q2/2p1n1N1/P4B1Q/1P3PPP/R1B2RK1 b kq - 7 17,e4g5 c1g5 b7f3 h3f3 f5f3 g2f3,1778,79,90,711,advantage long opening,https://lichess.org/Z0Oj3NYy/black#34,Slav_Defense Slav_Defense_Geller_Gambit
zpX0Y,rn4k1/2p2rpp/1p6/p7/3Pn2q/P3PQ2/1P3PPP/R3BKNR w - - 2 16,f3h3 f7f2 e1f2 h4f2,1534,77,82,51,mate mateIn2 middlegame short,https://lichess.org/AaElrFQu#31,Nimzo-Indian_Defense Nimzo-Indian_Defense_Other_variations
j2Fju,8/6p1/4B2p/1pk2P2/b1p3PP/1pKp4/1N6/8 w - - 1 45,g4g5 b5b4 c3d2 c4c3 d2e3 c3b2,1441,76,97,6367,advancedPawn crushing endgame exposedKing fork long,https://lichess.org/7orvaWiX#89,
4M4Fa,6k1/1r4pp/p4p2/1q1p4/3Pb1Q1/PP4Bp/7K/R7 b - - 2 29,e4g2 g4e6 b7f7 a1c1 b5d7 c1c8 d7c8 e6c8,2203,90,89,1038,crushing endgame quietMove veryLong xRayAttack,https://lichess.org/aSnZRpSn/black#58,
fgXJi,2kr1bnr/Qppqpp2/n2p4/1N1P2pp/4P3/4Bb2/PPP1BPPP/R4RK1 b - - 0 11,f3e2 a7a8 a6b8 b5a7,1092,90,67,109,mate mateIn2 middlegame queensideAttack short smotheredMate,https://lichess.org/G33WdpO6/black#22,Zukertort_Opening Zukertort_Opening_Wade_Defense
1ottw,1r6/5k2/p1p2p2/2N1p2p/2b1P3/P7/2P2PPP/5RK1 w - - 0 26,c5d7 b8d8 d7e5 f6e5,1703,77,80,51,crushing endgame short,https://lichess.org/gYKjDwTH#51,
ZGRdn,3r3k/2p1bQp1/p6p/1p2r3/1P2qN2/P1P4P/6P1/R4RK1 b - - 3 30,d8f8 f4g6 e4g6 f7g6,998,78,99,1116,crushing fork middlegame short,https://lichess.org/hI9tBXgB/black#60,
qmU8P,rnbk2n1/pppp3p/6q1/4B3/4P3/5Q2/P4PPP/R4RK1 b - - 3 16,b8c6 f3f8 g6e8 e5c7 d8c7 f8e8,1542,74,95,15754,crushing deflection long middlegame pin,https://lichess.org/zG0SM0zF/black#32,Danish_Gambit_Accepted Danish_Gambit_Accepted_Copenhagen_Defense
9VPTm,r6k/pbpp1B1p/1p1b4/6Bp/8/8/PPP2PPP/2K1R3 b - - 0 23,b7g2 g5f6,1046,93,81,974,doubleBishopMate endgame mate mateIn1 oneMove,https://lichess.org/eWCQ7uCe/black#46,
